address,txid,vin,r,s,z
bc1qsecure0023,e234ce49b35a07f844901b8e2895f2fbf4f4b73a677e0458f48a3c6e924e8ec7,0,0xe44347d425d576c6ffc4a0583ad8118ea5b64aca81c809375450134520fd810b,0xd8acdf17894c3bcd7707fe5f165d25c889b6b787819af95fc9222c003342463a,0x3aa86a7e1e1463aa04c785c9cd80c02d137b417f64a9c00049d4ebf0d48152b6
bc1qsecure0019,1129d4c1992e815345699bc154157c188a590c53992d10e1e847f044d678628a,4,0xe8893f6385010a358596b0710d3a0054048f9da432ae75cbf9ca102a3ee3f1fb,0x539d10c102f852a1e288b14c31b848b0158d46526d95482998292812b0a294ba,0x8094765f7cc19ff928a4ff8eafbc63fea7642db7c27e4f8b3c7ae5680fa04b21
bc1qsecure0005,37b0dd8f6d0a452bd737ff0f2949f1ac10c583cea4735b86328018f1887b5325,3,0x7708d10845f600bd2ea2cd2fdcaee1f02e9d64344f21e7437cccd718af4e00ab,0xd6ea1f1ba5c023bd2e375a9368c3858a4f9e0efec3d544a160352262ef5c28ce,0xe7a87cf9c299ceb240ce99dffd9f06d06ac130eab5e8fc9cc02a683127c2b17a
bc1qsecure0069,34b83399377d2263bae7b58b8c0f9a89292d7034f0c0b752f0e83c0b8dccd260,1,0xf30103f861a66c3c1ded6d36ca8b3f5e4a0e3792202d66117cefd7f4f7e103ca,0x139c1a560c9322f88ccd9e9ef13a1ace92d88a337cbfc9d26141f9e21ff241cc,0xff30041f87c2e03e2d7693fc6c66e2c78ba093bafc31377049d1355c8e38f56f
bc1qsecure0104,cf207c0ea6de98f02f4bf50cedf2bbec944d69a5cfb8079e9aa340a5b19af22c,4,0x39c50b1dacfef893b49f1ab3d7f42ad9825877f9ef2df9a99a9628cd9166b3f1,0x8284fa0129cd7f6d5b29cc73b6718b4ca81898194fe0017d5d4e5bd96efca518,0x9aaeefe2ed9a234bf89f72f93a82dee2fc0bf03c2de38774e1922822efce81d3
bc1qsecure0088,4392b043d1f8e819681954ed36f0f7c4a75b804cfa479c87511e0194d90f2878,0,0x80f12a998a407a9052e0316978ec17f0e1ff2d53065e2113784c5148b8d3854,0xdd2ed6f72758c7d035f68b6d04c46060b036f2ae0291d50f21edf5aa8a506783,0x41bed578464d8c7527f18f19e8f9fc01bc59c33efbdfa78ddf60d5d1b800f087
bc1qsecure0010,b948aaa132945443ba2fadd53b582ce6c57df2ea11afe288cd64e51a4599410c,1,0xa36a998b2b96f4101c3983dd1cf00c35a50e02ce3243d2160f2fb554dc92921f,0x2c71b2d8d2a221b2f20bad5bfabc59d6bf847610e7a32c22787cf74bde16dbea,0xf8a93fdeed5f149e956da7c356d7b257b7613181452ca271d0cd3ec95c839257
bc1qsecure0142,c9c7eb2671f2b446efcb86866ceb0419144f788b55a3c642b5d9f952f2c11251,0,0x914908dd12777c6df7b587f70d7274a662f71128a36c4dcd4972946d7bb935ac,0xa53d4524e9925dd81a7048a3e03a700e4a5f2590634b72f0e018581b61718206,0x83f3a6d63687040eeb9a6304994b6d43750410f0e12091e3204aa44012657ad9
bc1qsecure0075,0a8aa7877eaf5068fa97e25a92d985523399eb16165dedd33cb79e8b9475d66c,3,0xcb78479d05078157eac0bc29c6a1b7423a6365d44562aa00548ea837324a5d7b,0x62b245b7300c4238e71b4cfce503d331c5b5a0c17e58473f3e16f2a879d37d1b,0x98e3b25c0ee5aab84e69448918cb1a92ed221ac3b97cac983acc9480bb4b2c0a
bc1qsecure0025,9989aa764e21218b17d26292006de8ee19ec5f7a29329d1dc85b599a0db4070c,0,0xced8fe10d77c5c47b54a531c513cbd0e8baee7afb59802611c41f65df0c0440b,0xbd2736bee314c23b2a68903118d0467287463c82a18006a89e7e878e25d8f816,0x8eb1ac169cd09834d917ab409f47fda8956d3a918deeb7b21f01e6a1da0820bb
bc1qsecure0065,5ce53cb45c08f30ed82709f17bc2c8606b00241b6b743cd84e5ec585bc95b22d,3,0xb36861611b52377d003d5ed40cd9b83eaf5367da54e9b7027857bc836e97b022,0x1cbb9e63bd8426c59ef9f27aff94029a2a40974380462dbd4dd5e1f750c15e2d,0xe3d4b8bf98c21f6bcee2804332a02b673e114b7b5c92d2ecb2167507e8ef59a3
bc1qsecure0141,00425b3c215e1a9e6bae963aa5e02b778d28c44433e03c713ecb28a84823586d,0,0x959651c06199cb6b65790daca0265ceff2e324aa36191181699eebcaf529cca5,0xb1858073d18a31007203137db96825207c1ba9a1a186f82997d96d7251d595b9,0x6028efb0c27500588ea11182e94b5634611fd8b1367ca81589d0943e2936396a
bc1qsecure0017,ba732a673a3cc8c3c3dc257e0c650c4ee90f558f65f16e299d280a6af35227c6,1,0x7e7fa00311b108c0897d1898ed428072d08b65ff56168ef3eff39bb348395b8d,0xb3dd985b39bbbf6a2cfd954c50426c287a909ae4460bb7e23a79ebd858da88f8,0x7b47170469de30be9e51b616e883196b02941c6bbcb180e436a884bf2f39f7a0
bc1qsecure0091,8c302e9b6204c025134b0188671c7041940311a3daf64905c6ca2bf990022647,4,0x5c5504a18532d038f554d7af55b6f987f9de4cc41ee29b4464bb79f073ca8553,0x1042765c207ca3cd36cf44b631686702f17c0eab982beb8a802ed5407a322b10,0x73abc5d789df11966230b3deb4d256b1b4311b235af2418615689a35ea28372a
bc1qsecure0026,977efc3000cc30b151e586b0f628671d8694cfec1c92675b252d7f9b47eadfd9,2,0x44333e4e7ac21fc20e82346502f77ed5f62ae898aadf399eb81eff3896d313b5,0xc26b2213731544588a0a84fdbdbca4ff60c64d4bb8223136d605b3990172b9c3,0xe8f2ee05f7f5f69d5db1d2b75260275ae431517530be43c9e2910cc14ca86e4d
bc1qsecure0018,11f919171dddeb8c6ee293365ffa7fbdf9758448d2e669acbdb667d4ccdf9990,2,0x3cff94e518eed27f718736868ab7adc0b618dcf644657e9b887a413326815224,0xcbbf1a329bb2ef6004d55af93cca6073319085d3fcf18a4e8bf40a1ae15befb5,0x9af5697083fe9b29bc340d4562f932c6314a9feee675fefde5ffdf0a503ed310
